,0.0,1.0,2.0,3.0,accuracy,macro avg,weighted avg,Average Rand Error,Rand Error Variance,Average SSI,SSI Variance,Average MSE,MSE Variance,Average NMI,NMI Variance
precision,0.9429365078215768,0.9777755612193824,0.8382174272245712,0.9495860927152318,0.949443920238598,0.9271288972451905,0.9471379048173437,0.05605443185080849,0.1838260108426137,0.8701066049245482,0.012721717306823333,0.2749469516513584,0.195275611851073,0.7665808409654383,0.048996737534473346
recall,0.9944905521648328,0.9809759185092004,0.04846672829914042,0.03896359751768834,0.949443920238598,0.5157241991227155,0.949443920238598,0.05605443185080849,0.1838260108426137,0.8701066049245482,0.012721717306823333,0.2749469516513584,0.195275611851073,0.7665808409654383,0.048996737534473346
f1-score,0.9680276152707779,0.9793731253705977,0.09163501128967991,0.07485570162129711,0.949443920238598,0.5284728633880881,0.9306757231345233,0.05605443185080849,0.1838260108426137,0.8701066049245482,0.012721717306823333,0.2749469516513584,0.195275611851073,0.7665808409654383,0.048996737534473346
support,11130698.0,2768018.0,355873.0,294403.0,0.949443920238598,14548992.0,14548992.0,0.05605443185080849,0.1838260108426137,0.8701066049245482,0.012721717306823333,0.2749469516513584,0.195275611851073,0.7665808409654383,0.048996737534473346
