,0.0,1.0,2.0,3.0,accuracy,macro avg,weighted avg,Average Rand Error,Rand Error Variance,Average SSI,SSI Variance,Average MSE,MSE Variance,Average NMI,NMI Variance
precision,0.9802451734313418,0.9609386611666769,0.43194760422627604,0.43481965350752627,0.937716784777942,0.7019877730829553,0.9521236387123966,0.07432280269469387,0.17008598227988986,0.8007698568207756,0.02389131476358677,0.3251304970131264,0.17842349659917267,0.7253538780436194,0.04304461050176153
recall,0.9404486582961823,0.9856771162615272,0.6957032424488512,0.6760461000737085,0.937716784777942,0.8244687792700672,0.937716784777942,0.07432280269469387,0.17008598227988986,0.8007698568207756,0.02389131476358677,0.3251304970131264,0.17842349659917267,0.7253538780436194,0.04304461050176153
f1-score,0.9599346266715073,0.9731506950943914,0.532979423044425,0.5292415038297748,0.937716784777942,0.7488265621600246,0.9432903903326201,0.07432280269469387,0.17008598227988986,0.8007698568207756,0.02389131476358677,0.3251304970131264,0.17842349659917267,0.7253538780436194,0.04304461050176153
support,11130698.0,2768018.0,355873.0,294403.0,0.937716784777942,14548992.0,14548992.0,0.07432280269469387,0.17008598227988986,0.8007698568207756,0.02389131476358677,0.3251304970131264,0.17842349659917267,0.7253538780436194,0.04304461050176153
