,0.0,1.0,2.0,3.0,accuracy,macro avg,weighted avg,Average Rand Error,Rand Error Variance,Average SSI,SSI Variance,Average MSE,MSE Variance,Average NMI,NMI Variance
precision,0.9677168192903727,0.963673467366054,0.4083610218584186,0.347278004951239,0.9013600392384572,0.6717573283665211,0.9274248895305552,0.1169472139471361,0.14417805490944247,0.6536110483291075,0.03323252869344721,0.4963548677461641,0.2861673996401874,0.6516681997660584,0.04364393630076896
recall,0.9047281333957223,0.9847404524791342,0.5941955075453765,0.7209043443995665,0.9013600392384572,0.8011421094549499,0.9013600392384572,0.1169472139471361,0.14417805490944247,0.6536110483291075,0.03323252869344721,0.4963548677461641,0.2861673996401874,0.6516681997660584,0.04364393630076896
f1-score,0.9351630127403809,0.9740930678339484,0.48405506827472283,0.4687480983671312,0.9013600392384572,0.7155148118040459,0.9114003975869867,0.1169472139471361,0.14417805490944247,0.6536110483291075,0.03323252869344721,0.4963548677461641,0.2861673996401874,0.6516681997660584,0.04364393630076896
support,10788232.0,2766006.0,690224.0,304530.0,0.9013600392384572,14548992.0,14548992.0,0.1169472139471361,0.14417805490944247,0.6536110483291075,0.03323252869344721,0.4963548677461641,0.2861673996401874,0.6516681997660584,0.04364393630076896
