,0.0,1.0,2.0,3.0,accuracy,macro avg,weighted avg,Average Rand Error-Kmeans,Rand Error Variance-Kmeans,Average SSI-Kmeans,SSI Variance-Kmeans,Average MSE-Kmeans,MSE Variance-Kmeans,Average NMI-Kmeans,NMI Variance-Kmeans
precision,0.9664111138809905,0.671955503556428,0.03638748206914722,0.021268748320199378,0.5590155029296875,0.4240057119566913,0.8695511253352559,0.39719798789399996,0.060580620838974385,0.1935936355492028,0.024028410960087048,2.316009724934896,0.6547204363966569,0.36322527764085977,0.043443496068367754
recall,0.4756845015746193,0.9775929550960959,0.2525848614904409,0.19292061548852818,0.5590155029296875,0.47469573341242105,0.5590155029296875,0.39719798789399996,0.060580620838974385,0.1935936355492028,0.024028410960087048,2.316009724934896,0.6547204363966569,0.36322527764085977,0.043443496068367754
f1-score,0.6375538266613671,0.7964591315509681,0.0636111193563146,0.03831357396689062,0.5590155029296875,0.3839844128838852,0.6415129457155283,0.39719798789399996,0.060580620838974385,0.1935936355492028,0.024028410960087048,2.316009724934896,0.6547204363966569,0.36322527764085977,0.043443496068367754
support,3773293.0,924129.0,123024.0,94754.0,0.5590155029296875,4915200.0,4915200.0,0.39719798789399996,0.060580620838974385,0.1935936355492028,0.024028410960087048,2.316009724934896,0.6547204363966569,0.36322527764085977,0.043443496068367754
