,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,32.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,41.0,42.0,43.0,44.0,45.0,46.0,47.0,48.0,49.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,59.0,60.0,61.0,62.0,63.0,64.0,65.0,66.0,67.0,68.0,69.0,70.0,accuracy,macro avg,weighted avg,Average Rand Error-MeanShift,Rand Error Variance-MeanShift,Average SSI-MeanShift,SSI Variance-MeanShift,Average MSE-MeanShift,MSE Variance-MeanShift,Average NMI-MeanShift,NMI Variance-MeanShift
precision,0.9234811392659779,0.02716029220554889,0.011132946873261506,0.00487175173635549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6920477377401816,0.013614734226494982,0.852850904126663,0.7287677088592044,0.11787042799177015,0.1322920220793348,0.021057102974523588,172.97043009440105,12322.059654713057,0.2189640049946705,0.01777376024312863
recall,0.7499876371336499,0.009358000885157808,0.027490570945506568,0.0149756210819596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6920477377401816,0.011293124366848928,0.6920477377401816,0.7287677088592044,0.11787042799177015,0.1322920220793348,0.021057102974523588,172.97043009440105,12322.059654713057,0.2189640049946705,0.01777376024312863
f1-score,0.8277410936410416,0.013919929820890357,0.01584791252252189,0.007351855449776568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6920477377401816,0.012181137907524373,0.7638402236089836,0.7287677088592044,0.11787042799177015,0.1322920220793348,0.021057102974523588,172.97043009440105,12322.059654713057,0.2189640049946705,0.01777376024312863
support,13407085.0,924129.0,123024.0,94754.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6920477377401816,14548992.0,14548992.0,0.7287677088592044,0.11787042799177015,0.1322920220793348,0.021057102974523588,172.97043009440105,12322.059654713057,0.2189640049946705,0.01777376024312863
